"","GEOID","bls_agemploy"
"81","37105",0.00238207678854495
"82","37173",0
"83","37015",0.0394058469681025
"84","37175",0
"85","18083",0.0239886539712404
"86","18183",0.00178743062985389
"87","18089",0.00136050849770356
"88","18051",0.00511829869824525
"89","18071",0.00389557573819399
"90","18061",0.00425408920100233
"91","21071",0
"92","20123",0.0183163897628212
"93","21043",0
"94","21085",0.00126955810591549
"95","21011",0
"96","21099",0
"97","20149",0.00286826429784954
"98","21189",0
"99","21003",0
"100","21109",0
"101","21205",0
"102","21147",0
"103","21031",0.00859841092730528
"104","20203",0.10703810346141
"105","17031",0.000425643406688653
"106","17027",0.0127120427559164
"107","17079",0.00513035010520691
"108","17171",0
"109","17185",0.0214199255942034
"110","17047",0.0113916998112078
"111","39043",0.0158793030789238
"112","06001",0.000785441803513156
"113","06081",0.0029716571504156
"114","06065",0.0161855967787813
"115","06095",0.0122094934412575
"116","06103",0.118300847493892
"117","06111",0.0807038773417106
"118","06083",0.152607805537616
"119","36081",5.87945085240044e-06
"120","06093",0.0612924861931243
"121","06115",0.0469936248049192
"122","06033",0.0141436266661789
"123","06061",0.00155508413637731
"124","06005",0.0142288422663507
"125","06043",0
"126","08029",0.0272185458389015
"127","12119",0.0130500834764035
"128","12069",0.0211088919594665
"129","08069",0.00385820348322441
"130","09009",0.00258337183848989
"131","09007",0.00357644397231871
"132","12079",0.0103167880089844
"133","12127",0.00821867433066896
"134","12099",0.0107639009771422
"135","12113",0.00592207023547653
"136","12125",0
"137","12093",0.0184436324728953
"138","08083",0.0075688421288988
"139","42033",0
"140","42125",0.00066890168844228
"141","42031",0.0043735292243842
"142","42097",0.00657257507025681
"143","42061",0.00376617853080135
"144","55099",0
"145","55121",0.013263295503652
"146","55075",0.00428936009780755
"147","55001",0.109786355108377
"148","30051",0.0346426735616455
"149","30005",0
"150","30077",0
"151","30057",0.00745530058854548
"152","30003",0
"153","30073",0.0159352982267539
"154","30045",0
"155","30009",0.0129179613455474
"156","30085",0
"157","30069",0
"158","49035",0.000404608586195092
"159","49011",0.00351841967179025
"160","01097",0.0028646662578494
"161","49025",0
"162","01033",0.0015788131049474
"163","01041",0
"164","01065",0.00102579132473623
"165","01109",0.000144711816753494
"166","36011",0.0114415903715523
"167","36025",0.00371448171141468
"168","36115",0.0108930740792562
"169","48029",0.000886732099249874
"170","48423",0.00674140471309649
"171","48201",0.000467382585370472
"172","48471",0.00374660309818752
"173","48257",0.000173479814571229
"174","48223",0.00049353250394295
"175","48321",0.0299872851028985
"176","48473",0.0041956636620668
"177","48215",0.0092445950882753
"178","48323",0.000807174887892377
"179","48187",0.00312676936481959
"180","48343",0
"181","48389",0
"182","48071",0.00152057648822066
"183","48351",0
"184","48057",0.00183554128565447
"185","48455",0
"186","40017",0.00141576516653648
