"","GEOID","perc_over65"
"808","20131",19.6
"809","01001",16
"810","01025",20.6
"811","40113",20.9
"812","36059",18.2
"813","21095",19.2
"814","36111",20.8
"815","48061",14
"816","72127",24.8
"817","21127",19.8
"818","22087",12.7
"819","01047",19.8
"820","22085",21
"821","22119",20.2
"822","23015",28.9
"823","01035",24.3
"824","24009",15.9
"825","24043",17.8
"826","26055",21.3
"827","26013",23
"828","26071",30.9
"829","27069",26.4
"830","27089",22.6
"831","28103",17.6
"832","29143",19.6
"833","29095",15.5
"834","29157",19.3
"835","30061",28.1
"836","30083",17.2
"837","30057",30.6
"838","32009",26.5
"839","34033",18.9
"840","34007",16.2
"841","34015",16.5
"842","37087",25.4
"843","37021",20.8
"844","37065",20.5
"845","38059",16.8
"846","38055",25.6
"847","38007",27
"848","40111",18.4
"849","41005",19.3
"850","41003",17.2
"851","41023",31.6
"852","42003",19.7
"853","42041",18.8
"854","42067",20.9
"855","45075",20.6
"856","45067",21.1
"857","45009",23.5
"858","46137",11
"859","72037",25.6
"860","78030",NA
"861","12045",23.5
"862","12029",23.6
"863","12129",16.6
"864","17097",15.3
"865","16087",25.7
"866","05009",21
"867","06073",15
"868","06053",14.5
"869","06045",24.1
"870","06017",22.8
"871","06093",27.2
"872","08113",17.3
"873","08071",25.6
"874","08057",32.7
"875","22107",27.1
"876","22017",18.4
"877","23027",24.5
"878","23017",23.4
"879","24025",17
"880","24047",28.2
"881","24003",15.6
"882","24023",23.6
"883","37029",16
"884","37161",22.1
"885","38035",14
"886","39161",19.5
"887","02050",8
"888","41019",26.2
"889","42111",23.5
"890","42045",17
"891","42103",23.7
"892","45019",17.5
"893","45003",20.4
"894","45021",17.1
"895","45057",21.5
"896","28109",19.3
"897","29023",19.3
"898","47063",17.9
"899","47187",14.3
"900","47117",16.4
"901","48473",11.4
"902","48161",20
"903","48453",10.7
"904","48495",13.4
"905","48491",12.8
"906","48423",17.1
"907","48461",18.6
"908","48373",18.9
"909","48241",20.7
"910","48449",14.7
"911","48389",12.3
"912","48437",17.6
"913","48173",15.4
"914","49057",12.2
"915","49047",11.7
"916","49029",12.1
"917","49017",22.7
"918","51003",19.9
"919","51840",17.1
"920","51163",26.8
"921","54081",21.7
"922","54083",22.4
"923","54007",24.4
"924","55099",27.8
"925","56035",23.5
"926","60010",NA
"927","72039",23.4
"928","72139",21.4
"929","06039",14.4
"930","06033",23.6
"931","08037",14.3
"932","08109",26.5
"933","09009",18.7
"934","12001",14.9
"935","13303",18.2
"936","13157",14.5
"937","13309",14.7
"938","13171",17
"939","13221",19
"940","13317",23.7
"941","13079",19.9
"942","13141",24.6
"943","13025",17
"944","16035",28.5
"945","17175",22.8
"946","18125",20.9
"947","19107",21.9
"948","19017",19.5
"949","19081",23.9
"950","20149",15.1
"951","21067",14.4
"952","21049",18.2
"953","21051",15.7
"954","21043",19.9
"955","21229",19.3
"956","21033",21.1
"957","22099",16.6
"958","22063",13.6
"959","22033",14.9
"960","22059",15.5
"961","22021",18.1
"962","25015",19.3
"963","26079",21.2
"964","27023",21.4
"965","27125",22.1
"966","28049",15.7
"967","28053",18.4
"968","29195",17.4
"969","29169",9.6
"970","30015",22.5
"971","30073",21.6
"972","31093",22.2
"973","31113",21.1
"974","31103",24.8
"975","35043",19.6
"976","36077",21.3
"977","36067",18.2
"978","28007",19.4
"979","28029",18.5
"980","29015",31.1
"981","29041",25
"982","30087",16.7
"983","30055",28.7
"984","31077",25.8
"985","51041",15.7
"986","51005",25.8
"987","51017",27.4
"988","53065",24.7
"989","13307",19.5
"990","56003",21.5
"991","01097",17
"992","04005",14
"993","06111",16.9
"994","13127",22.3
"995","01115",17.5
"996","18061",18.8
"997","22105",15
"998","06101",16.1
"999","36013",21
"1000","46095",15.2
"1001","23013",27.1
"1002","24013",17.6
"1003","21093",14.8
"1004","27031",30.2
"1005","34011",15.6
"1006","34021",15.7
"1007","39123",27
"1008","02275",23.9
"1009","02282",27.7
"1010","02195",22
"1011","45069",18.6
"1012","30089",32.4
"1013","32031",17.3
"1014","33009",22.5
"1015","35039",21.2
"1016","35055",29.7
"1017","36009",20.3
"1018","36105",19
"1019","17043",16.8
"1020","27051",23.2
"1021","18083",18.4
"1022","19195",22.4
"1023","12095",12.8
"1024","26089",33
"1025","19125",18.9
"1026","01055",19.5
"1027","36065",19.4
"1028","21101",18.8
"1029","21195",19.6
"1030","48361",15.9
"1031","01109",15.4
"1032","19147",21.9
"1033","19161",23.9
"1034","21029",16.9
"1035","21155",16.9
"1036","21121",17.3
"1037","21005",16.3
"1038","21099",17.1
"1039","47163",22
"1040","47091",23.3
"1041","48167",15.3
"1042","48007",28
"1043","48465",13.9
"1044","48403",29.8
"1045","48315",26.7
"1046","49033",21.2
"1047","51153",10.9
"1048","51171",21.9
"1049","53031",39.6
"1050","53011",16.3
"1051","53071",19.4
"1052","53035",19.1
"1053","53019",30.2
"1054","54011",19.6
"1055","54073",18.5
"1056","05103",21.1
"1057","05061",18.3
"1058","05013",21.7
"1059","05095",23.3
"1060","06021",16.8
"1061","06043",29.4
"1062","08031",12.3
"1063","08015",25.8
"1064","13067",13.2
"1065","13029",10.7
"1066","13113",19.5
"1067","13217",13.3
"1068","13319",20.1
"1069","13107",16.1
"1070","15009",20
"1071","17017",18.6
"1072","17129",20.2
"1073","35033",32.7
"1074","37101",13.5
"1075","37079",16.9
"1076","37057",18.6
"1077","37123",21.8
"1078","37199",26.5
"1079","38031",23.1
"1080","47021",15.7
"1081","48257",10.9
"1082","48277",19.3
"1083","48005",16.5
"1084","48507",15.4
"1085","48401",17.1
"1086","48003",9.7
"1087","48395",20.2
"1088","48371",13.3
"1089","48051",22.4
"1090","48239",19.7
"1091","40117",19.7
"1092","40027",14.5
"1093","40077",21.3
"1094","42099",19.9
"1095","45077",17
"1096","45059",18.9
"1097","45085",17.4
"1098","45061",20.1
"1099","46041",9.9
"1100","46069",26.5
"1101","47149",10.9
"1102","22123",20.8
"1103","23023",24
"1104","28137",16.5
"1105","28161",21.4
"1106","48351",22.9
"1107","51001",25.2
"1108","53009",31.5
"1109","53047",22.9
"1110","55007",30.3
"1111","08019",22.1
"1112","12093",20.1
"1113","13031",12.1
"1114","13183",9.2
"1115","17155",23.9
"1116","47145",23.2
"1117","47097",16.3
"1118","48103",15
"1119","48237",17.4
"1120","48327",32.2
"1121","45041",17.7
"1122","21131",18.9
"1123","22047",17.3
"1124","27103",17.2
"1125","39003",18.7
"1126","41047",16.4
"1127","45015",14.5
"1128","48053",23.4
"1129","48463",16.4
"1130","48311",16.4
"1131","51085",18.8
"1132","51047",16.6
"1133","10001",17.9
"1134","13179",9.8
"1135","04012",42.2
"1136","06071",12.3
"1137","39021",18.9
"1138","24045",16.2
"1139","37165",17.9
"1140","02090",12.2
"1141","45043",29.8
"1142","26007",24.5
"1143","30081",26.5
"1144","36025",25.7
"1145","16027",14.4
"1146","27013",14.7
"1147","06099",13.6
