"","STATEFP","GEOID","lat","lon","log_incidence","raw_incidence","raw_perc_over65","raw_edge_pixel_count","raw_edge_length_m","raw_area_km2","raw_edgedensity_mk2","raw_log_edgedensity_mk2","raw_bls_agemploy","raw_svi_mean","raw_birds_tot","scale_perc_over65","scale_edge_pixel_count","scale_edge_length_m","scale_area_km2","scale_edgedensity_mk2","scale_log_edgedensity_mk2","scale_bls_agemploy","scale_svi_mean","scale_birds_tot","raw_peakmonths_rR0_mean","scale_peakmonths_rR0_mean"
"1340",41,"41055",45.4048146361284,-120.689464380471,NA,NA,22.7,40296,1208880,2147.27327612152,562.983768038841,6.33502547101093,0.0301880846471599,0.2669,13,0.52309004959836,-0.355291038590519,-0.355291038590519,-0.103974386768695,-0.634880381348577,-0.0186718003213694,0.493268379415261,-0.822518476164754,-0.176039489081175,0.194945910107702,-1.01531227854021
"1341",41,"41045",43.1862691682274,-117.62303008956,1.17865499634165,3.25,17,96919,2907570,25673.4150293892,113.25217142603,4.73840803551081,0.0842484742884507,0.993866666666667,15,-0.625617725854981,1.05343109475559,1.05343109475559,6.82146753793274,-1.27195066278729,-1.07526652875311,2.1241665114976,1.74289706136408,0.490807990049507,0.178142450717925,-1.09292883190994
"1342",5,"05117",34.8295438383482,-91.5527686701919,NA,NA,23.6,54557,1636710,1744.44337974375,938.241973918597,6.84507313921512,0.102624104250458,0.527366666666667,16,0.704464961512046,-0.000491993261785757,-0.000491993261785648,-0.222556306496788,-0.103305876393741,0.31886283101293,2.67852397691224,0.096650537098134,0.824231729614848,0.619675280542292,0.946547424473184
"1343",45,"45059",34.4833303685768,-82.0056222085586,-2.81341071676004,0.06,18.9,83048,2491440,1874.00842682453,1329.47107619025,7.19328835112865,0,0.906,14,-0.242715134037201,0.708334849207952,0.708334849207953,-0.18441595953979,0.450892307964199,0.549301475291124,-0.417448157940074,1.43282161742231,0.157384250484166,0.591655301451518,0.817120849143066
"1344",47,"47115",35.1293118850191,-85.6220342928224,NA,NA,20.5,30847,925410,1330.08572639348,695.752147126067,6.54642974798783,0,0.4761,12,0.0797291538093515,-0.590372462004809,-0.59037246200481,-0.34453167731739,-0.446806451768572,0.121229368020656,-0.417448157940074,-0.0842660155507435,-0.509463228646516,0.499286640791459,0.390462450208074
"1345",47,"47167",35.4974103490006,-89.7566438097113,-2.04022082852655,0.13,15.3,68402,2052060,1211.16403455129,1694.28743048851,7.4356075809477,0.00869358988667395,0.419833333333333,16,-0.968214781691942,0.343957398967112,0.343957398967112,-0.379538916459182,0.967675338680031,0.709661255368465,-0.155179247165573,-0.282827225480071,0.824231729614848,0.601645541790774,0.863266586427373
"1346",13,"13221",33.8806238097897,-83.080770324203,NA,NA,19,34762,1042860,1145.98393751055,910.012754860623,6.81455689810665,0.0619319476134183,0.527,14,-0.222562366046791,-0.492971279586887,-0.492971279586887,-0.398726124520586,-0.143294164220317,0.298668075043312,1.45091976077353,0.0953565955642333,0.157384250484166,0.617665003479656,0.937261790289133
"1347",26,"26053",46.4089285511536,-89.6929700514116,NA,NA,28.8,6614,198420,2955.80021681604,67.129029516662,4.22140340010262,0,0.340266666666667,12,1.75240889701334,-1.19326463404402,-1.19326463404402,0.134033461311991,-1.33728670592579,-1.41740507753825,-0.417448157940074,-0.56361253833629,-0.509463228646516,0.105609857583017,-1.42796281244403
"1348",27,"27129",44.7268838518769,-94.9468951096,-0.653926467406664,0.52,21.5,137517,4125510,2555.14160004169,1614.5915357226,7.3874564445833,0.0608864015357019,0.2207,15,0.281256833713447,2.06346767299385,2.06346767299386,0.0160907059208924,0.854781589407307,0.677796241421222,1.41937764358814,-0.985555109436109,0.490807990049507,0.301223000810007,-0.524409703592287
"1349",37,"37095",35.5306243392084,-76.2516701999334,NA,NA,22.8,26938,808140,1948.43410584748,414.76383398067,6.03011739227752,0.084911017073991,0.847,15,0.54324281758877,-0.687624370579945,-0.687624370579946,-0.162507109241023,-0.844842313791055,-0.22045105030498,2.14415415491882,1.22461466151301,0.490807990049507,0.614861146739951,0.924310546665411
