"","GEOID","incidence"
"659","27075",NA
"660","72147",NA
"661","72047",NA
"662","72141",NA
"663","72031",NA
"664","72039",NA
"665","72033",NA
"666","04009",1.84
"667","04007",1.13
"668","04021",1.72
"669","15009",NA
"670","15007",NA
"671","16039",1.67
"672","27137",0.08
"673","27061",0.27
"674","27145",0.47
"675","27103",NA
"676","27127",1.77
"677","27097",0.12
"678","27089",1.69
"679","27147",0.33
"680","27031",NA
"681","27011",4.67
"682","38105",1.79
"683","38019",2.04
"684","22069",0.51
"685","22063",2.13
"686","22099",0.3
"687","22015",1.53
"688","22127",0.79
"689","22079",2.51
"690","22091",2.18
"691","22115",0.22
"692","22001",0.13
"693","22045",0.65
"694","22025",0.78
"695","22047",0.96
"696","38099",3.27
"697","38071",2.07
"698","38031",4.73
"699","38085",5.54
"700","54013",NA
"701","54007",NA
"702","22081",0.88
"703","28045",0.18
"704","48407",0.15
"705","48387",0.63
"706","48055",0.21
"707","45035",0.22
"708","45083",0.03
"709","45073",0.16
"710","45047",0.17
"711","45079",0.13
"712","45031",0.18
"713","45057",NA
"714","45055",0.13
"715","45049",NA
"716","45067",0.12
"717","21065",0.28
"718","22055",0.53
"719","47003",0.27
"720","47035",0.07
"721","47053",0.4
"722","47159",NA
"723","47165",0.07
"724","47149",0.13
"725","46123",4.35
"726","46093",2.01
"727","46071",6.3
"728","46075",8.07
"729","47065",0.15
"730","47089",0.15
"731","47005",NA
"732","47185",NA
"733","47041",NA
"734","47001",NA
"735","47029",0.11
"736","47145",0.07
"737","47009",0.06
"738","47147",0.06
"739","47141",0.11
"740","47043",NA
"741","47011",NA
"742","46085",7.42
"743","47091",0.22
"744","20001",NA
"745","47135",NA
"746","47183",0.23
"747","47143",NA
"748","47127",NA
"749","47175",NA
"750","56033",1.08
"751","56003",1.02
"752","54107",0.14
"753","54059",NA
"754","54011",0.04
"755","54067",NA
"756","54083",NA
"757","54003",0.11
"758","54053",NA
"759","54041",NA
"760","54073",NA
"761","54027",NA
"762","13219",NA
"763","13237",NA
"764","04012",1.17
"765","13201",2
"766","51149",0.11
"767","51157",NA
"768","51067",NA
"769","51087",0.09
"770","51017",NA
"771","51141",NA
"772","51177",0.03
"773","51037",NA
"774","51109",NA
"775","51101",NA
"776","51033",NA
"777","51181",NA
"778","51678",NA
"779","13135",0.04
"780","13103",NA
"781","13067",0.12
"782","13089",0.15
"783","13153",0.25
"784","13229",0.63
"785","13077",NA
"786","13317",NA
"787","13217",NA
"788","13019",NA
"789","19195",NA
"790","19029",0.29
"791","20169",1.07
"792","21203",NA
"793","21193",NA
"794","21069",NA
"795","21183",NA
"796","21175",NA
"797","20105",1.26
"798","21063",NA
"799","17097",0.26
"800","39035",0.84
"801","39075",0.74
"802","39095",0.38
"803","06071",0.59
"804","06041",0.05
"805","36053",NA
"806","36029",0.08
"807","06063",0.21
"808","06079",0.07
"809","36103",0.26
"810","06009",0.27
"811","36065",NA
"812","08035",0.48
"813","12057",0.03
"814","12117",NA
"815","09003",0.08
"816","12055",0.04
"817","08013",2.18
"818","12031",0.3
"819","12107",0.05
"820","08093",NA
"821","08055",2.44
"822","12109",0.06
"823","42045",0.26
"824","42111",NA
"825","42103",NA
"826","42027",0.1
"827","44003",NA
"828","55059",0.12
"829","30027",NA
"830","30081",0.2
"831","30049",0.25
"832","30087",3.85
"833","30001",NA
"834","30013",0.78
"835","30007",NA
"836","30055",4.71
"837","49057",0.32
"838","49049",0.29
"839","49017",NA
"840","01003",0.4
"841","13079",NA
"842","13001",NA
"843","28007",1.04
"844","13283",0.59
"845","48073",0.39
"846","34029",0.08
"847","34033",0.12
"848","35039",1.79
"849","35043",0.89
"850","28149",0.75
"851","35021",NA
"852","01129",NA
"853","53061",0.01
"854","51015",0.16
"855","53055",NA
"856","51031",0.07
"857","53063",0.11
"858","51051",NA
"859","51195",NA
"860","53015",NA
"861","33009",NA
"862","32019",1.18
"863","24017",0.03
"864","21095",NA
"865","21047",0.16
"866","23013",NA
"867","23015",NA
"868","22035",NA
"869","21027",0.2
"870","21127",NA
"871","21151",0.05
"872","21231",NA
"873","51191",NA
"874","24025",0.19
"875","24015",0.16
"876","37089",NA
"877","37027",NA
"878","37133",0.02
"879","37067",0.03
"880","37193",NA
"881","37111",NA
"882","37117",0.17
"883","37059",0.1
"884","37103",NA
"885","32015",NA
"886","28047",0.7
"887","28029",1.65
"888","28011",0.71
"889","28033",0.24
"890","28103",0.72
"891","28083",1.56
"892","28137",0.14
"893","48311",NA
"894","16043",NA
"895","16035",NA
"896","16029",0.59
"897","16059",1.54
"898","16083",0.92
"899","16003",2.05
"900","16031",0.34
"901","48229",2.39
"902","50009",NA
"903","29113",NA
"904","29013",NA
"905","29205",NA
"906","26115",0.21
"907","26125",0.86
"908","26099",0.85
"909","26103",0.06
"910","18023",0.24
"911","48449",0.86
"912","72095",NA
"913","27053",0.19
"914","27071",0.61
"915","27013",0.37
"916","27015",0.47
"917","27073",3.37
"918","37053",0.17
"919","38017",1.37
"920","37177",NA
"921","48395",0.49
"922","22013",0.56
"923","22037",2.01
"924","22053",0.64
"925","22039",0.59
"926","22009",0.67
"927","38055",11.08
"928","54093",NA
"929","48501",0.5
"930","28161",NA
"931","16041",0.62
"932","50021",NA
"933","51163",NA
"934","51145",0.14
"935","51035",NA
"936","51630",0.15
"937","51005",NA
"938","02070",NA
"939","02050",NA
"940","02185",NA
"941","02188",NA
"942","31117",7.86
"943","78030",NA
"944","23007",NA
"945","08037",0.15
"946","08091",NA
"947","08027",NA
"948","31103",NA
"949","08111",NA
"950","02150",NA
"951","01101",0.79
"952","51063",NA
"953","51167",NA
"954","51047",0.08
"955","53041",NA
"956","51003",0.04
"957","13195",NA
"958","13039",NA
"959","13033",0.17
"960","13127",0.25
"961","13185",0.07
"962","13105",NA
"963","37165",0.11
"964","19045",0.33
"965","19147",0.86
"966","18173",0.07
"967","18019",0.18
"968","19063",2.01
"969","20081",1.9
"970","21115",NA
"971","21155",0.4
"972","17043",0.89
"973","17153",0.67
"974","17165",0.32
"975","39049",0.09
"976","06067",0.59
"977","06073",0.14
"978","06089",0.63
"979","36045",NA
"980","36105",NA
"981","36031",NA
"982","36107",0.08
"983","48245",0.84
"984","48499",0.28
"985","48373",0.44
"986","48427",0.19
"987","48157",0.14
"988","48467",0.69
"989","48465",0.16
"990","48481",0.88
"991","48103",NA
"992","48035",0.44
"993","48127",0.38
"994","48175",NA
"995","40027",0.35
"996","40145",0.32
"997","40079",0.4
"998","40067",1.26
"999","41041",NA
"1000","41033",NA
"1001","41067",NA
"1002","06051",0.28
"1003","05075",0.47
"1004","05057",0.36
"1005","05131",0.53
"1006","06091",NA
"1007","16033",NA
"1008","48007",NA
"1009","48393",8.53
"1010","48399",1.55
"1011","48015",0.28
"1012","45003",0.1
"1013","45019",0.08
"1014","45041",0.14
"1015","45077",0.1
"1016","45075",0.09
"1017","21229",NA
"1018","47105",NA
"1019","47157",0.59
"1020","47025",NA
"1021","47121",0.34
"1022","47063",0.13
"1023","47073",0.07
"1024","46009",5.12
"1025","46057",6.05
"1026","20101",4.76
"1027","56013",3.31
"1028","54039",0.04
"1029","54033",NA
"1030","54045",NA
"1031","16049",NA
"1032","12065",0.28
"1033","12007",NA
"1034","29183",0.23
"1035","29195",0.51
"1036","29143",NA
"1037","37017",NA
"1038","42127",NA
"1039","42133",0.26
"1040","42063",NA
"1041","44005",0.1
"1042","55057",0.15
"1043","48001",0.28
"1044","48025",0.12
"1045","48401",1.12
"1046","48233",2
"1047","40133",0.79
"1048","41039",0.02
"1049","05119",0.49
"1050","05139",1.76
"1051","05045",0.07
"1052","05109",NA
"1053","05021",0.25
"1054","05121",0.22
"1055","27021",0.14
"1056","27173",3.15
"1057","16073",5.26
"1058","37143",NA
"1059","38077",3.94
"1060","38045",5.88
"1061","38059",3.56
"1062","54063",0.3
"1063","54057",NA
"1064","28049",2.73
"1065","45005",0.4
"1066","22033",1.51
"1067","47033",1.09
"1068","47081",0.33
"1069","47093",0.05
"1070","47013",NA
"1071","47181",NA
"1072","46083",2.15
"1073","46117",4.03
"1074","47057",0.18
"1075","47019",0.28
"1076","46041",13.74
"1077","20129",1.28
"1078","54099",NA
"1079","54085",NA
"1080","56035",NA
"1081","54065",0.23
"1082","51073",0.11
"1083","51036",NA
"1084","51595",NA
"1085","28051",0.42
"1086","28055",NA
"1087","12029",NA
"1088","16015",0.59
"1089","16085",0.84
"1090","16027",1.14
"1091","50025",NA
"1092","13013",NA
"1093","13313",0.16
"1094","34041",0.19
"1095","53033",0.01
"1096","01063",NA
"1097","31167",NA
"1098","21037",0.17
"1099","51105",NA
"1100","25005",0.07
"1101","37139",NA
"1102","37107",0.14
"1103","20019",NA
"1104","36043",NA
"1105","12001",0.05
"1106","12083",0.1
"1107","08071",1.6
"1108","48391",NA
"1109","48161",1.23
"1110","48403",NA
"1111","30071",1.94
"1112","30063",0.04
"1113","30089",0.7
"1114","30105",8.53
"1115","30023",NA
"1116","49013",0.84
"1117","49037",0.8
"1118","49023",NA
"1119","36019",0.05
"1120","48457",0.19
"1121","48167",0.29
"1122","48139",0.65
"1123","48491",0.19
"1124","48061",0.2
"1125","48349",0.91
"1126","12103",0.04
"1127","12041",NA
"1128","08059",0.97
"1129","09001",0.27
"1130","10003",0.17
"1131","12033",0.61
"1132","29037",0.12
"1133","29203",0.96
"1134","29041",0.52
"1135","26047",0.12
"1136","26147",0.22
"1137","26119",NA
"1138","26153",NA
"1139","72107",NA
"1140","69110",NA
"1141","69085",NA
"1142","04025",0.15
"1143","04027",0.14
"1144","36085",0.58
"1145","36067",0.14
"1146","06023",0.06
"1147","06035",0.12
"1148","32003",0.21
"1149","32033",NA
"1150","23005",0.06
"1151","21089",0.33
"1152","22117",2.23
"1153","20091",0.37
"1154","22123",2.09
"1155","23017",NA
"1156","22125",0.78
"1157","21139",NA
"1158","51069",0.15
"1159","23025",NA
"1160","24005",0.3
"1161","24043",0.19
"1162","25021",0.07
"1163","24009",0.04
"1164","37013",0.17
"1165","37101",NA
"1166","37035",0.1
"1167","37019",0.04
"1168","41001",2.25
"1169","05145",0.25
"1170","05107",0.58
"1171","05007",0.12
"1172","48185",0.9
"1173","30031",0.09
"1174","30099",1.32
"1175","49045",0.27
"1176","49029",NA
"1177","50027",0.14
"1178","48091",0.07
"1179","08049",0.56
"1180","12053",NA
"1181","29207",0.4
"1182","25015",0.05
"1183","48319",NA
"1184","72023",NA
"1185","27171",0.19
"1186","37029",NA
"1187","48425",NA
"1188","26083",1.84
"1189","22041",0.97
"1190","22083",1.15
"1191","54075",NA
"1192","45071",0.11
"1193","22101",0.07
"1194","47119",NA
"1195","47021",NA
"1196","47049",NA
"1197","54081",NA
"1198","54021",NA
"1199","51175",NA
"1200","51179",NA
"1201","51127",NA
"1202","13091",NA
"1203","28151",1.28
"1204","29087",0.85
"1205","13163",NA
"1206","13051",0.29
"1207","13289",NA
"1208","01023",NA
"1209","53035",NA
"1210","51187",0.21
"1211","01069",0.31
"1212","21195",NA
"1213","22105",1.91
"1214","37061",NA
"1215","37051",0.08
"1216","20059",0.31
"1217","39105",0.17
"1218","06045",0.23
"1219","08001",1.63
"1220","08077",2.39
"1221","12131",0.21
"1222","30033",3.22
"1223","48041",0.6
"1224","48489",0.54
"1225","48303",1.45
"1226","40023",0.53
"1227","41019",0.04
"1228","41031",0.18
"1229","05061",NA
"1230","45081",NA
"1231","45065",NA
"1232","47085",NA
"1233","54031",0.58
"1234","26107",NA
"1235","72127",0.01
"1236","27107",1.82
"1237","48235",2.53
"1238","54103",NA
"1239","16023",NA
"1240","51085",0.08
"1241","02013",NA
"1242","08043",2.38
"1243","08109",NA
"1244","34013",0.07
"1245","01071",0.08
"1246","13029",0.25
"1247","13305",0.4
"1248","37085",NA
"1249","18179",0.87
"1250","18025",0.37
"1251","21055",NA
"1252","20161",0.15
"1253","21237",1.11
"1254","17189",0.27
"1255","06059",0.66
"1256","06007",2.01
"1257","01077",0.04
"1258","53031",NA
"1259","22057",0.62
"1260","51117",0.13
"1261","51027",NA
"1262","24011",0.25
"1263","42029",0.14
"1264","42017",0.21
"1265","55043",0.24
"1266","48207",2.04
"1267","30039",NA
"1268","30053",NA
"1269","30043",NA
"1270","49055",NA
"1271","48053",0.18
"1272","48283",NA
"1273","48239",0.56
"1274","48011",8.19
"1275","45025",NA
"1276","47179",0.13
"1277","46137",NA
"1278","60050",NA
"1279","29189",0.49
"1280","29099",0.22
"1281","48263",NA
"1282","27165",1.08
"1283","27037",0.22
"1284","27077",NA
"1285","22097",0.34
"1286","28109",1.53
"1287","37075",NA
"1288","51011",NA
"1289","51095",NA
"1290","02100",NA
"1291","16037",NA
"1292","34039",0.14
"1293","01049",NA
"1294","51077",NA
"1295","13133",NA
"1296","13075",NA
"1297","13311",0.14
"1298","19107",0.38
"1299","18147",0.19
"1300","18029",0.32
"1301","21025",NA
"1302","21153",NA
"1303","17111",0.29
"1304","39069",0.29
"1305","06053",0.05
"1306","06017",0.18
"1307","53045",NA
"1308","51059",0.15
"1309","21177",NA
"1310","37091",0.16
"1311","37153",NA
"1312","42129",0.07
"1313","42005",0.06
"1314","48459",0.5
"1315","48369",3.53
"1316","40125",0.74
"1317","22073",1.85
"1318","54023",NA
"1319","45091",0.07
"1320","47123",0.09
"1321","46095",7.8
"1322","47151",NA
"1323","46127",3.78
"1324","54019",NA
"1325","04015",0.24
"1326","51199",NA
"1327","51155",NA
"1328","18129",0.31
"1329","21033",NA
"1330","20023",4.5
"1331","06077",0.62
"1332","08123",4.35
"1333","37125",0.04
"1334","37131",NA
"1335","28089",1.92
"1336","48355",0.44
"1337","48133",0.43
"1338","48469",0.22
"1339","41055",NA
"1340","41045",3.25
"1341","05117",NA
"1342","45059",0.06
"1343","47115",NA
"1344","47167",0.13
"1345","13221",NA
"1346","26053",NA
"1347","27129",0.52
"1348","37095",NA
"1349","22085",0.16
"1350","54095",0.44
"1351","28013",2.7
"1352","28021",1.71
"1353","46073",7.78
"1354","48261",NA
"1355","08015",1.1
"1356","13107",NA
"1357","37037",NA
"1358","18175",NA
"1359","20143",0.66
"1360","21067",0.09
"1361","36055",0.08
"1362","01047",0.37
"1363","01027",NA
"1364","31055",0.99
"1365","22011",0.66
"1366","51185",NA
"1367","24027",0.07
"1368","42041",0.12
"1369","55029",NA
"1370","48059",1.19
"1371","48371",0.51
"1372","41005",0.02
"1373","05041",0.95
"1374","05149",0.18
"1375","30035",0.29
"1376","49015",NA
"1377","49031",NA
"1378","06021",4.17
"1379","08019",0.89
"1380","12037",NA
"1381","29019",0.33
"1382","48435",NA
"1383","27027",1.39
"1384","48327",NA
"1385","22077",1.76
"1386","48107",6.63
"1387","22021",1.99
"1388","53077",0.36
"1389","13271",NA
"1390","13191",0.29
"1391","20069",8.05
"1392","17003",NA
"1393","06085",0.06
"1394","45015",NA
"1395","47051",NA
"1396","47117",NA
"1397","66010",NA
"1398","48067",0.27
"1399","41051",NA
"1400","22059",0.27
"1401","47187",0.04
"1402","04005",0.15
"1403","49007",0.19
"1404","12023",NA
"1405","26089",0.19
"1406","24031",0.15
"1407","13009",NA
